panel_source,panel_group,gene,rank,logfoldchanges,pvals_adj,score
germ_cluster,12,AT4G34150,46,1.3937419652938843,7.784836565169052e-72,18.177471160888672
germ_cluster,12,AT3G47960,47,2.3478875160217285,2.7562144912990133e-71,18.107589721679688
germ_cluster,12,AT2G23120,48,1.1492966413497925,3.3267740447532543e-71,18.096824645996094
germ_cluster,12,AT3G56800,49,1.30104660987854,9.97901683670962e-71,18.035804748535156
germ_cluster,12,AT3G15210,50,1.4591171741485596,1.1907245329647802e-70,18.025636672973633
germ_cluster,13,AT5G47190,1,3.5558228492736816,1.8525634797481396e-207,31.04405975341797
germ_cluster,13,AT3G22840,2,4.52125883102417,2.2308757231921248e-206,30.941511154174805
germ_cluster,13,AT2G35370,3,4.005763053894043,5.60622478347203e-204,30.7493953704834
germ_cluster,13,AT3G25920,4,3.426708936691284,3.617548072075767e-201,30.525218963623047
germ_cluster,13,AT5G38420,5,5.160070896148682,3.617548072075767e-201,30.52178192138672
germ_cluster,13,AT1G32470,6,4.2996344566345215,6.946821536233607e-198,30.26732063293457
germ_cluster,13,AT4G01150,7,3.4615070819854736,1.416893603178342e-197,30.238697052001953
germ_cluster,13,AT3G62030,8,3.235888957977295,9.56292010726313e-194,29.941560745239258
germ_cluster,13,AT5G54600,9,3.4077205657958984,1.2396695345077297e-193,29.928970336914062
germ_cluster,13,AT3G27160,10,3.4174962043762207,5.520730827716747e-193,29.87555503845215
germ_cluster,13,AT1G29070,11,3.343613862991333,6.121442034863963e-191,29.714508056640625
germ_cluster,13,AT1G44575,12,4.078498363494873,8.718768362288299e-191,29.699691772460938
germ_cluster,13,AT2G24090,13,3.351154327392578,9.631412359431033e-191,29.69365119934082
germ_cluster,13,AT5G20720,14,2.951847791671753,2.8310865490493352e-186,29.342992782592773
germ_cluster,13,AT1G78630,15,3.262226104736328,4.202901421832741e-186,29.327190399169922
germ_cluster,13,AT2G43030,16,3.3390376567840576,1.2585952437419866e-183,29.130130767822266
germ_cluster,13,AT4G28660,17,3.406860589981079,6.444087439906244e-178,28.67372703552246
germ_cluster,13,AT4G01310,18,3.2415695190429688,2.1734867553210455e-174,28.387344360351562
germ_cluster,13,AT4G34190,19,3.2665135860443115,2.0837066551892282e-170,28.059415817260742
germ_cluster,13,AT3G52590,20,1.7745684385299683,2.0837066551892282e-170,28.05917739868164
germ_cluster,13,AT5G65220,21,3.0231261253356934,6.680316592601448e-170,28.015939712524414
germ_cluster,13,AT1G64510,22,3.2034378051757812,2.124396297216216e-168,27.890676498413086
germ_cluster,13,AT3G54210,23,3.0542664527893066,5.408817878046847e-167,27.772920608520508
germ_cluster,13,AT1G33810,24,3.085212469100952,1.5566669394461496e-163,27.483470916748047
germ_cluster,13,AT4G34620,25,2.7477948665618896,3.088351140181997e-163,27.457080841064453
germ_cluster,13,AT3G52150,26,3.2022385597229004,7.002529587586724e-160,27.17316246032715
germ_cluster,13,AT1G32990,27,3.204029083251953,8.093338805351342e-160,27.166454315185547
germ_cluster,13,AT3G52960,28,2.6380467414855957,4.855399547092845e-157,26.927631378173828
germ_cluster,13,AT2G28900,29,3.2183539867401123,1.1055162203231439e-156,26.895841598510742
germ_cluster,13,AT5G15200,30,1.690364956855774,1.163206019667664e-156,26.89273452758789
germ_cluster,13,AT5G28750,31,3.060351848602295,1.2595285932030801e-155,26.802949905395508
germ_cluster,13,AT5G63310,32,2.9832379817962646,2.5892289053636767e-155,26.774938583374023
germ_cluster,13,AT1G67090,33,3.638024091720581,3.900872032883598e-155,26.758535385131836
germ_cluster,13,AT1G74970,34,3.0528171062469482,1.7554507120744486e-154,26.70125961303711
germ_cluster,13,AT3G62530,35,2.4435133934020996,4.262736898913959e-154,26.66700553894043
germ_cluster,13,AT5G24314,36,3.1319634914398193,5.964481101926095e-154,26.653396606445312
germ_cluster,13,AT5G14320,37,3.0276033878326416,2.4670636173534994e-153,26.59914779663086
germ_cluster,13,AT3G63160,38,3.295624256134033,4.759205302085211e-152,26.486825942993164
germ_cluster,13,AT5G14910,39,2.9131901264190674,8.021403040274222e-151,26.379161834716797
germ_cluster,13,AT3G11630,40,2.771406412124634,6.822909269893275e-150,26.297061920166016
germ_cluster,13,AT1G05190,41,3.071776866912842,1.2616639626869948e-149,26.27279281616211
germ_cluster,13,AT5G17870,42,2.8020622730255127,3.623884898733588e-148,26.143966674804688
germ_cluster,13,AT1G42970,43,3.323591947555542,5.328229760411783e-147,26.04021644592285
germ_cluster,13,AT3G08740,44,3.0296339988708496,1.124429800127554e-146,26.010698318481445
germ_cluster,13,AT2G44650,45,2.7577171325683594,8.693884251782435e-144,25.753276824951172
germ_cluster,13,AT3G26060,46,3.0503525733947754,2.862336828955004e-143,25.706199645996094
germ_cluster,13,AT4G03280,47,3.143336057662964,1.0382826807764605e-142,25.655282974243164
germ_cluster,13,AT4G09040,48,2.9490747451782227,1.1955367785361018e-142,25.648990631103516
